employee_id,store_id,salary
1,4,75102.9
2,1,21123.03
3,4,33735.83
4,3,48750.12
5,1,61591.35
6,4,78485.05
7,3,75510.42
8,2,70984.56
9,5,63933.26
10,5,26381.99
11,4,43855.92
12,3,26007.62
13,4,46772.69
14,5,65730.84
15,4,38593.35
16,1,70594.66
17,2,49651.19
18,1,40234.72
19,4,40182.65
20,2,31959.98
21,3,59332.18
22,1,58345.36
23,3,37816.36
24,3,67816.38
25,4,35950.2
26,2,21155.87
27,4,48600.9
28,1,52510.45
29,2,51207.1
30,5,72789.16
31,2,70032.75
32,3,70542.37
33,4,42330.83
34,5,45862.49
35,3,33914.24
36,1,27564.08
37,1,33076.06
38,3,61603.51
39,5,67000.3
40,2,22246.51
41,4,24052.87
42,5,74843.73
43,2,76009.1
44,3,52260.47
45,2,25619.34
46,3,70039.66
47,1,70952.95
48,4,36189.53
49,2,39109.85
50,2,44557.73
51,4,59067.47
52,2,63519.76
53,5,45217.53
54,1,59906.11
55,2,56233.64
56,3,34879.55
57,5,41507.27
58,1,51930.99
59,5,38669.56
60,1,36544.36
61,4,21805.39
62,4,39166.4
63,1,28832.47
64,3,23220.97
65,2,62133.64
66,3,49076.01
67,4,39863.88
68,3,63524.39
69,2,48044.16
70,1,39553.63
71,2,56078.18
72,1,73004.66
73,1,51063.79
74,3,27377.64
75,5,50219.03
76,2,26564.32
77,3,33300.16
78,2,34399.55
79,3,59037.26
80,3,75206.53
81,5,58615.71
82,2,67947.27
83,4,56926.35
84,2,33144.71
85,2,39889.98
86,3,47967.12
87,2,29553.7
88,2,68139.59
89,5,59608.51
90,3,51786.58
91,4,79992.51
92,4,59953.3
93,5,55796.16
94,5,59924.97
95,1,29549.11
96,2,27553.81
97,1,66307.73
98,1,72999.46
99,2,66777.35
100,2,60874.84
101,3,70240.79
102,4,34427.51
103,2,33770.13
104,5,69454.48
105,1,79895.08
106,2,68859.9
107,3,78249.85
108,3,65056.93
109,4,33660.51
110,5,42493.07
111,3,63391.04
112,1,49128.11
113,3,52580.21
114,5,45464.92
115,2,23225.25
116,3,72854.04
117,3,76205.17
118,4,29135.69
119,5,29435.09
120,1,30328.94
121,2,60200.65
122,4,20579.59
123,4,70206.57
124,5,29600.31
125,4,62773.69
126,4,42057.86
127,1,22038.08
128,4,59378.19
129,2,21280.98
130,3,63124.46
131,3,75702.77
132,1,45498.15
133,3,50768.11
134,5,33819.76
135,5,32245.77
136,5,34684.77
137,3,72975.94
138,5,44438.53
139,2,28048.12
140,5,53264.41
141,5,33477.24
142,5,36524.57
143,3,60200.91
144,4,53026.83
145,4,27081.99
146,3,33379.97
147,1,53161.73
148,1,32201.72
149,2,70883.52
150,2,43193.42
151,3,51166.43
152,2,25687.12
153,2,79686.42
154,4,55095.33
155,5,60564.48
156,1,77909.4
157,2,31703.73
158,2,77172.29
159,4,34792.29
160,3,45395.91
161,4,45847.78
162,4,60098.67
163,5,43438.19
164,2,40844.03
165,3,54287.66
166,4,20865.48
167,2,61429.37
168,5,30895.3
169,1,63747.47
170,3,58068.08
171,2,37304.63
172,3,21289.43
173,3,46692.51
174,2,20130.85
175,5,58991.14
176,2,76214.43
177,1,76402.05
178,2,30354.84
179,4,35738.33
180,1,79582.57
181,4,39207.48
182,4,75160.4
183,5,34019.34
184,1,47922.29
185,3,44028.49
186,3,24489.92
187,5,77639.91
188,4,77778.97
189,4,49262.71
190,2,30946.3
191,2,69035.2
192,5,20418.89
193,1,69361.81
194,5,57023.09
195,4,65566.34
196,3,62693.21
197,2,67097.5
198,5,77240.04
199,5,52459.71
200,3,62493.1
201,2,46453.02
202,1,51452.23
203,5,72315.71
204,3,34827.71
205,3,66320.68
206,4,53715.17
207,3,54135.1
208,5,79551.77
209,4,52398.33
210,1,34264
211,1,25873.45
212,2,70229.62
213,1,48458.71
214,3,53581
215,1,71704.78
216,3,32052.86
217,4,36522.69
218,2,78043.53
219,2,52384.56
220,2,61626.42
221,2,36403.38
222,2,38937.5
223,2,22329.75
224,5,60158.35
225,2,51829.01
226,5,54599.84
227,2,53616.79
228,2,44144.15
229,1,41971.15
230,2,67864.33
231,3,21772.98
232,4,45552.09
233,2,68493.68
234,3,32081.21
235,3,75469.06
236,5,32904.47
237,3,72714.59
238,3,30646.46
239,4,29776.7
240,3,28628.89
241,2,56974.6
242,5,48122.21
243,1,40012.62
244,1,61383.98
245,4,50769.79
246,1,58141.82
247,1,28463.42
248,1,45489.64
249,1,49498.18
250,3,46852.05
251,3,68040.03
252,5,35289.92
253,1,51053.55
254,3,33084.1
255,5,77414.03
256,5,60140.62
257,1,26690.51
258,4,42551.23
259,1,55931.85
260,3,27863.91
261,3,69564.01
262,2,45064.27
263,4,43643.87
264,2,29987.75
265,5,68542.99
266,2,78942.04
267,4,78089.23
268,1,33822.93
269,4,41181.49
270,3,53526.3
271,2,76897.93
272,2,37612.4
273,4,75527.97
274,2,69602.66
275,3,54442.76
276,4,58306.18
277,5,24776.41
278,5,71046.63
279,5,36454.15
280,1,45016.01
281,4,31581.11
282,1,69092.07
283,2,69157.54
284,5,76207.36
285,4,71075.96
286,4,78379.6
287,2,25131.01
288,4,77645.17
289,1,44661.82
290,3,44155.26
291,4,26331.58
292,2,69962.71
293,3,57263.14
294,4,53326.68
295,5,68284.74
296,3,46712.78
297,2,37245.7
298,5,49355.78
299,3,79086.88
300,2,79590.01
