employee_id,store_id,salary
1,3,67332.63
2,5,79332.24
3,2,26821.16
4,3,71458.66
5,1,75685.49
6,4,38018.21
7,5,31876.58
8,1,33817.71
9,4,57878.14
10,5,21419.12
11,5,54240.12
12,4,31459.35
13,1,26089.46
14,5,27377.41
15,1,34928.93
16,2,56722.04
17,2,48432.8
18,5,32837.89
19,5,68838.45
20,2,53687.67
21,4,39427.53
22,4,44154.46
23,2,33506.7
24,4,43267.65
25,5,66172.04
26,4,25605.23
27,2,38573.86
28,4,61377.04
29,2,62925.71
30,3,42440.86
31,5,25942.8
32,4,26335.37
33,1,46739.88
34,5,68741.51
35,1,71383.21
36,2,79874.53
37,1,60868.44
38,3,36110.99
39,4,41541.49
40,5,34710.72
41,5,53241.4
42,4,56507.61
43,3,29196.18
44,2,45901.08
45,5,73741.09
46,5,55460.18
47,3,28912.04
48,4,79461.24
49,5,36445.25
50,4,64351.6
51,5,55176.57
52,4,47839.83
53,2,30748.78
54,2,43600.63
55,2,76577.3
56,4,42813.76
57,5,78778.58
58,1,25467.77
59,4,25659.99
60,4,55032.32
61,5,43348.67
62,4,23857.89
63,1,36859.64
64,3,29341.4
65,2,20957.91
66,5,39791.9
67,2,61706.17
68,2,67865.03
69,4,46048.11
70,1,46276.11
71,2,21713.28
72,3,21583.75
73,3,68852.72
74,5,68321.31
75,1,70199.68
76,1,68316.84
77,5,22448.46
78,1,69922.61
79,5,38633.04
80,3,64631.1
81,5,26217.87
82,5,74852.08
83,5,21586.65
84,4,72591.62
85,4,27701.41
86,3,40655.35
87,5,26607.17
88,3,66435.18
89,2,63489.3
90,1,46371.06
91,5,48521.87
92,4,29111.18
93,3,59003.63
94,1,29023.34
95,1,22481.18
96,5,37990.64
97,1,53477.84
98,5,59756.09
99,4,57843.3
100,4,23390.04
101,2,48488.97
102,5,65245.46
103,1,57720.63
104,4,59203.34
105,1,73068.72
106,5,77052.55
107,4,32932.99
108,4,38415.5
109,4,47363.28
110,4,34594.52
111,1,68255.9
112,4,25407.31
113,5,62189.92
114,5,48448.56
115,2,20748.96
116,1,71324.73
117,5,46284.54
118,2,38747.16
119,2,64213.13
120,4,31296.34
121,1,39394.6
122,2,45011.45
123,1,41301.46
124,4,59973.18
125,3,20227.08
126,2,42828.35
127,1,62570.07
128,3,20677.37
129,4,76009.24
130,4,36118.79
131,2,21047.64
132,2,30538.99
133,1,24435.46
134,3,63885.38
135,5,54344.28
136,2,26019.69
137,2,43405.13
138,3,53618.82
139,5,22142.44
140,3,34610.02
141,1,44651.6
142,4,58500.92
143,5,63506.34
144,1,48823.88
145,3,63194.1
146,1,20636.52
147,2,42527.06
148,1,38846.49
149,3,43429.03
150,3,34856.6
151,2,33613.63
152,5,26102.54
153,2,44043.32
154,5,41563.43
155,2,55022.66
156,1,75762.16
157,4,72449.55
158,3,41005.92
159,3,71460.96
160,2,65997.56
161,3,51783.35
162,3,66422.64
163,3,49086.05
164,2,76988.83
165,1,53423.82
166,1,28779.3
167,2,60033.69
168,3,71928.97
169,4,38310.21
170,5,30526.94
171,3,61728.22
172,4,59198.89
173,3,59973.09
174,4,57243.92
175,4,61388.35
176,4,50167.43
177,1,27414.82
178,4,26775.4
179,1,64310.38
180,5,66513.65
181,2,69527.22
182,2,39106.84
183,5,57467.53
184,1,74116.18
185,2,28517.54
186,5,33239.12
187,3,47735.59
188,2,32816.56
189,5,30648.87
190,5,70006.76
191,4,51727.65
192,2,71878.76
193,5,69116.07
194,3,51411.76
195,5,39297.07
196,5,54316.54
197,3,65534.13
198,3,25592.98
199,3,42655.46
200,5,34957.96
201,1,31996.82
202,1,76087.03
203,4,55207.01
204,3,50441.77
205,3,33022.42
206,3,35632.54
207,5,62961.77
208,3,50443.86
209,3,63460.66
210,4,67968.44
211,3,21203.36
212,4,72981.71
213,1,44899.25
214,2,25698.53
215,3,21176.08
216,1,43096.75
217,5,76266.69
218,5,45653.25
219,4,69085.22
220,2,49877.61
221,4,64719.4
222,1,33202.19
223,2,50529.58
224,2,33930.28
225,1,56466.8
226,1,28930.76
227,1,52185.88
228,1,36320.35
229,3,57015.45
230,5,31339.49
231,1,73736.81
232,2,35533.14
233,2,31356.21
234,2,31232.96
235,1,34008.82
236,3,46734.57
237,2,41132.24
238,1,54905.06
239,3,51408.3
240,3,51782.15
241,2,79786.53
242,1,50157.66
243,1,62432.85
244,3,47823.85
245,2,28073.37
246,5,49844.05
247,3,49188.98
248,3,54838.51
249,3,39222.92
250,1,78450.13
251,1,63664.88
252,5,65844.94
253,1,71291.63
254,4,24183.28
255,4,52287.97
256,3,44644.99
257,4,54040.05
258,1,41067.68
259,5,68963.06
260,5,54858.93
261,1,46155.91
262,2,64229.5
263,3,34411.09
264,1,41645.98
265,2,49298.72
266,2,33968.56
267,2,21336.6
268,5,65554.64
269,3,55968.15
270,2,48739.82
271,1,75559.95
272,1,29081.26
273,5,73973.37
274,1,70114.05
275,1,40083.83
276,4,28358.12
277,2,72862.05
278,2,37060.24
279,1,29660.92
280,4,24726.42
281,3,54961.14
282,1,44734.68
283,1,43805.09
284,4,59315.08
285,3,31889.96
286,1,49517.6
287,5,78453.9
288,1,21166.42
289,4,74798.75
290,2,66965.55
291,5,46803.98
292,2,71802.31
293,1,78832.11
294,2,54415.77
295,5,45451.97
296,1,64060.47
297,2,76693.24
298,2,51846.03
299,2,60346.77
300,4,62390.54
301,1,42554.16
302,3,62376.76
303,2,27372.11
304,5,74114.02
305,1,74259.1
306,2,48449.68
307,4,68590.68
308,4,61038.27
309,5,27462.38
310,5,37283.05
311,1,78286.26
312,3,76895.95
313,1,54858.95
314,5,30955.05
315,1,41889.88
316,1,41390.31
317,4,42060.56
318,3,24858.23
319,3,56836.62
320,2,67780.18
321,3,49824.99
322,3,59479.9
323,4,51572.74
324,4,60431.6
325,1,56858.83
326,2,57054.43
327,2,61968.77
328,2,37052.67
329,2,46745.99
330,5,58499.14
331,2,27995.17
332,2,57772.38
333,5,61850.39
334,5,30679.09
335,2,72955.7
336,4,44165.72
337,2,46303.45
338,2,39818.31
339,1,68187.35
340,2,77915.09
341,1,25479.85
342,2,43743.93
343,4,64119.58
344,3,78740.75
345,4,74536.83
346,2,54602.04
347,5,34218.54
348,4,52801.52
349,2,44023.05
350,1,74189.23
351,4,37564.18
352,5,52083.22
353,4,64280.19
354,1,39147.3
355,3,49302.84
356,3,35604.47
357,1,27357.4
358,3,25668.38
359,5,70557.55
360,1,52394.37
361,2,23513.56
362,2,52020.03
363,1,20084.86
364,2,27374.22
365,4,59708.29
366,5,35028.43
367,2,57186.44
368,5,47676.84
369,2,61231.79
370,3,44678.65
371,3,44753.91
372,3,43084.62
373,3,33378.13
374,4,50242.84
375,4,39748.98
376,1,32178.02
377,5,28285.42
378,5,24845.6
379,2,55180.48
380,4,47423.59
381,4,41091.48
382,4,68895.99
383,4,62998.91
384,4,55266.98
385,1,76082.53
386,1,27411.12
387,3,75300.66
388,1,25943.0
389,4,74546.76
390,3,73060.71
391,2,68224.36
392,2,73484.58
393,5,29391.17
394,4,40887.57
395,4,21448.32
396,1,55924.6
397,2,36390.47
398,1,48101.12
399,3,27810.45
400,4,27442.54
401,2,35062.17
402,1,69786.72
403,2,57481.24
404,5,49950.41
405,1,47819.77
406,4,30999.06
407,3,42299.65
408,4,75800.49
409,5,25328.8
410,1,20006.03
411,3,69261.52
412,1,26666.55
413,5,37050.94
414,5,32539.16
415,2,38696.09
416,1,73410.06
417,4,59628.29
418,4,52344.69
419,2,67212.5
420,3,25376.69
421,2,25394.04
422,1,44318.21
423,4,34038.31
424,1,40728.76
425,3,39283.59
426,4,46649.99
427,5,42779.51
428,5,71361.36
429,3,39332.08
430,4,27315.43
431,1,45211.96
432,3,77051.96
433,2,29727.03
434,3,67604.17
435,2,75330.32
436,3,38342.81
437,2,32881.6
438,3,31106.52
439,5,56365.52
440,2,74593.8
441,2,44037.24
442,2,20191.04
443,2,20697.16
444,3,74713.57
445,4,43971.11
446,4,74027.46
447,5,76786.57
448,4,79537.91
449,1,40724.05
450,4,42486.92
451,2,46258.46
452,4,49742.62
453,4,23189.45
454,3,26815.75
455,2,35959.93
456,3,79800.67
457,4,50918.57
458,4,63471.05
459,3,27804.97
460,2,33930.62
461,2,73760.52
462,3,58261.58
463,2,56924.6
464,4,46443.29
465,5,28707.78
466,3,27581.4
467,1,65646.89
468,2,60549.48
469,4,55557.57
470,2,48555.45
471,4,47068.84
472,3,57242.17
473,2,58367.1
474,2,36499.72
475,4,70196.45
476,1,73984.06
477,5,46181.7
478,2,65099.33
479,3,29710.52
480,2,22332.71
481,3,55298.29
482,4,72016.33
483,4,32639.4
484,4,57277.5
485,3,36639.83
486,3,31830.66
487,3,68860.05
488,4,57766.01
489,2,42317.21
490,2,31594.76
491,3,38576.54
492,3,24771.93
493,1,28780.84
494,2,33500.51
495,4,77567.86
496,1,65856.09
497,2,73083.25
498,5,57310.36
499,4,78001.21
500,1,65009.4
