purchase_order_id,product_id,quantity,price
1,549,27,49.37655703
1,350,27,25.74585466
1,1394,68,61.203454
1,1148,50,96.6963062
1,1426,9,37.47758944
1,1539,20,1.830873185
1,414,21,32.29999773
1,495,10,26.88693317
1,389,1,10.58991232
2,687,45,20.19926431
2,549,39,64.30413989
2,173,32,28.17816546
2,766,97,70.92143305
2,599,20,95.63713099
2,1538,47,30.86099419
2,601,82,43.06343361
2,1474,66,31.27905647
2,923,41,30.80351739
2,1098,52,65.50295526
2,1320,41,63.79654903
2,387,63,15.64327049
3,1355,18,48.83835957
3,1432,64,21.70547562
3,106,89,30.48064549
3,307,17,12.24030532
3,403,90,45.30227417
3,664,65,97.52333715
3,796,50,54.51848554
3,917,10,29.621973
4,844,9,73.83025267
4,1304,32,47.94042101
4,306,38,98.14763298
4,1398,54,3.759023678
4,101,74,83.48200109
4,278,8,71.48207579
4,147,47,95.05808565
4,649,49,81.85364768
4,1138,74,31.1895917
5,303,90,48.87495359
5,1338,74,21.0872547
5,796,40,57.13512404
5,197,8,65.40761532
5,760,83,20.95013438
5,1388,63,36.97107546
5,435,68,97.56252703
5,1205,29,35.90363821
5,360,40,98.6807775
6,617,13,79.29770391
6,492,2,78.38004266
6,250,12,63.04397399
6,1071,4,41.51661127
6,703,27,34.73699315
6,585,21,7.544153398
6,258,45,26.4679361
6,1076,70,54.36503104
6,923,90,88.79147722
6,66,1,49.97763381
6,789,88,47.91151364
7,1039,15,16.61750462
7,707,72,37.28925221
7,789,35,48.11071329
7,87,54,46.16455855
7,1549,84,72.91997582
7,607,86,96.25977851
7,699,22,86.11520555
7,867,51,70.7857507
7,1341,34,77.72211277
8,947,11,54.94279141
8,1043,63,46.55641122
8,461,80,72.71897902
8,97,15,54.72702142
8,230,85,98.19767907
8,1444,99,48.24958389
8,260,94,56.98993234
8,814,35,8.872437582
8,810,77,88.44718325
8,606,82,45.94775752
9,575,80,40.33120762
9,1258,6,42.97074697
9,1117,93,74.95071458
9,505,37,73.50522117
9,478,27,28.11687882
9,566,87,81.15511801
9,1267,65,36.56034538
9,552,69,19.93849828
9,1447,81,13.85755431
9,1334,80,84.63813588
9,1032,10,40.92774662
9,859,81,94.25811467
10,1108,12,91.1148513
10,348,94,26.74255988
10,505,24,1.076787619
10,36,75,98.84474794
10,1231,72,8.123810307
10,367,28,77.02134286
10,1323,7,17.05788547
11,1141,78,92.00134746
11,324,69,70.79857829
11,187,31,86.28420301
11,102,2,84.67621432
11,672,85,59.02365906
11,812,85,36.77309643
12,479,16,39.31173643
12,83,66,65.86103897
12,262,79,96.67717464
12,931,66,78.06965445
12,772,82,58.89177681
12,465,50,3.271419707
12,951,19,55.7698026
12,1274,1,68.34708911
12,509,78,73.65788451
12,1526,70,26.38716934
12,559,60,39.77821588
12,1533,59,89.86195392
12,114,11,95.97745293
12,822,85,44.67967068
13,438,83,3.219679955
13,1081,28,31.00110551
13,637,85,35.46725594
13,1498,17,42.50703809
13,408,49,54.42398203
13,212,51,22.43918768
13,793,34,87.17679146
13,453,20,44.41040287
13,1526,99,13.90365678
13,62,61,40.82938219
13,1223,64,20.32567904
13,1503,75,93.45654122
13,255,18,43.77756267
14,525,51,23.34744246
14,1454,4,91.72436779
14,893,34,85.34930002
14,1414,78,98.34213384
14,1124,10,71.63962847
15,352,13,19.51905164
15,1127,48,37.14807656
15,1043,29,86.91715542
15,629,27,86.98953147
15,1494,93,92.88990452
15,1030,91,24.85145804
15,478,8,56.37500844
15,312,31,39.75249376
15,123,86,53.72733793
16,882,11,68.65245012
16,632,50,83.01652343
16,1411,9,69.07865429
16,1463,70,50.77161232
16,808,26,40.36883454
16,743,46,26.86693489
16,366,56,58.3753144
17,1172,22,1.641941729
17,245,48,14.460068
17,61,66,82.68728075
17,1024,64,91.75349401
17,950,91,83.45614653
17,1472,87,25.38397476
17,86,93,95.09070602
17,381,85,72.09903395
17,599,15,65.40898741
17,606,69,69.88031021
17,1237,56,83.02892591
17,227,79,3.885491805
17,195,71,50.74030193
17,325,9,46.03297534
18,952,51,49.05512156
18,1227,40,75.86293085
18,256,95,22.75833582
18,176,33,74.02289824
18,1061,89,75.07227922
18,1338,96,21.87040009
18,1530,95,15.7166373
18,187,96,25.52301554
18,777,60,14.2607165
18,1051,44,12.69892101
18,1334,58,30.35229533
18,517,20,29.85292112
19,143,48,66.34024004
19,1364,6,33.40543611
19,222,58,45.62240118
19,1529,70,4.049993725
19,1033,50,38.03648107
19,1123,9,62.51584582
19,272,12,42.48889917
20,1535,12,64.36996045
20,289,93,87.55064908
20,608,71,19.94513664
20,262,73,12.51038986
20,1518,20,68.2155589
20,1474,45,78.09524063
20,935,16,39.79282988
20,35,65,31.71027023
20,1058,49,54.76066714
20,516,87,89.72713966
20,305,33,66.84966248
20,58,59,82.44414531
20,1198,50,73.89864234
20,1289,96,15.56946072
21,733,36,82.67944193
21,627,32,7.360947138
21,1365,74,60.09379051
21,54,56,51.83598501
