id,store_id,customer_id,payment_type,amount,datetime
1,3,663,Ewallet,295.61,12/24/2022 6:47
2,5,948,Cash,116.3,3/14/2022 17:43
3,2,472,Credit card,358.4,7/22/2022 11:50
4,3,458,Ewallet,376.72,12/16/2022 22:56
5,3,88,Ewallet,306.11,11/30/2022 3:56
6,2,347,Ewallet,277.83,4/15/2022 19:05
7,3,863,Ewallet,217.44,6/29/2022 6:58
8,4,475,Ewallet,472.1,5/20/2022 7:05
9,2,325,Credit card,27.96,6/18/2022 7:10
10,1,115,Credit card,70.44,3/15/2022 15:42
11,5,56,Ewallet,95.84,5/21/2022 12:23
12,1,525,Cash,108.96,3/11/2022 16:27
13,4,820,Ewallet,151.25,7/15/2022 18:38
14,2,302,Ewallet,670.2,6/2/2022 17:29
15,5,64,Cash,639.1,12/23/2022 1:29
16,1,495,Cash,240.84,12/4/2022 17:50
17,1,948,Credit card,496.51,9/28/2022 13:50
18,3,626,Credit card,285.9,3/3/2022 10:37
19,3,221,Credit card,36.81,4/30/2022 3:29
20,1,921,Ewallet,23.48,8/8/2022 21:30
21,2,40,Ewallet,133.35,12/7/2022 19:07
22,2,398,Ewallet,46.41,5/21/2022 5:04
23,5,591,Credit card,33.88,4/24/2022 22:55
24,4,874,Ewallet,108.75,7/1/2022 2:55
25,2,731,Ewallet,23.91,9/13/2022 0:08
26,2,665,Credit card,313.44,7/20/2022 8:33
27,2,360,Cash,4.25,4/23/2022 2:57
28,5,310,Credit card,25.96,7/24/2022 0:28
29,5,41,Cash,138.75,6/26/2022 20:20
30,5,260,Cash,502.29,4/20/2022 1:40
31,5,120,Credit card,144.3,10/21/2022 4:03
32,3,183,Cash,465.03,11/30/2022 11:16
33,1,707,Cash,529.52,4/14/2022 13:47
34,4,878,Credit card,14.56,8/25/2022 1:50
35,2,445,Ewallet,149.04,3/28/2022 11:27
36,3,473,Ewallet,4.99,12/24/2022 21:27
37,3,710,Ewallet,129.3,4/19/2022 3:41
38,2,747,Ewallet,375.12,7/20/2022 1:13
39,3,848,Ewallet,495.12,7/17/2022 7:16
40,3,212,Cash,364.16,11/28/2022 22:37
41,2,960,Ewallet,21.99,6/27/2022 3:40
42,5,926,Cash,33.88,6/28/2022 8:59
43,1,591,Cash,282.84,10/25/2022 3:18
44,4,774,Cash,470.24,8/21/2022 9:55
45,1,945,Cash,14.08,5/27/2022 22:16
46,2,646,Cash,108.08,9/12/2022 2:09
47,4,37,Credit card,504.09,11/22/2022 5:25
48,2,370,Ewallet,503.28,11/26/2022 4:41
49,1,204,Credit card,242.4,4/24/2022 15:35
50,5,574,Ewallet,737.6,6/10/2022 1:20
